timestamp,open,high,low,close,volume,date_hour,return,Vol_t,next_hour_close,target_trend,Info_t,FOMO_m,FUD_m,Euphoria_m,Panic_m
1609545600000,29333.0,29337.0,28954.9,29191.9,690.61710646,2021-01-02 00:00:00,-0.0050843571120497,0.0051330240833264,29369.5,1,48.0,0.20593663737790846,0.2646877875406972,0.2646877875406972,0.2646877875406972
1609549200000,29192.0,29408.4,29097.0,29369.5,678.97881861,2021-01-02 01:00:00,0.0060654473590626,0.004374063228851,29321.7,0,35.0,0.22639735467378103,0.2526255665138946,0.25763844837643135,0.263338630435893
1609552800000,29369.6,29470.5,29321.5,29321.7,477.2339607,2021-01-02 02:00:00,-0.0016288646532556,0.0041035728445773,29346.4,1,47.0,0.23075015216774428,0.24589115217091342,0.25982282851471816,0.26353586714662414
1609556400000,29321.7,29380.0,29257.7,29346.4,507.57204397,2021-01-02 03:00:00,0.0008420249320966,0.0040660136097895,29354.2,1,55.0,0.23246195066465358,0.2453321710665197,0.25975258462687106,0.26245329364195563
1609560000000,29346.4,29396.8,29219.1,29354.2,391.12368168,2021-01-02 04:00:00,0.0002657553771479,0.0040343967415158,29600.0,1,52.0,0.20735157651249086,0.2522339334698463,0.26754765725397395,0.27286683276368884
1609563600000,29354.2,29600.0,29354.2,29600.0,526.83131105,2021-01-02 05:00:00,0.0083387247827374,0.0043524287602885,29715.7,1,52.0,0.19587770480972053,0.2575506368491406,0.27044904463318625,0.2761226137079526
1609567200000,29600.0,29750.0,29468.0,29715.7,685.6883912,2021-01-02 06:00:00,0.0039011643371752,0.0043971937171754,29747.6,1,47.0,0.20532237571895454,0.25488446474313237,0.26824399290589424,0.2715491666320188
1609570800000,29714.8,29827.6,29638.0,29747.6,567.00586419,2021-01-02 07:00:00,0.0010729308013588,0.0043303085859359,29840.0,1,53.0,0.19888597214308698,0.2597831622012604,0.26931068656522666,0.272020179090426
1609574400000,29747.6,29850.0,29634.1,29840.0,466.03003945,2021-01-02 08:00:00,0.0031013188670114,0.0042658263955017,29614.3,0,49.0,0.20588209225630888,0.2442642964800834,0.270086783875863,0.2797668273877447
1609578000000,29839.9,29941.3,29565.6,29614.3,656.58841148,2021-01-02 09:00:00,-0.0075924225565882,0.0044456190239488,29677.8,1,47.0,0.20889877275834148,0.24353658216187213,0.2681860968233336,0.2793785482564528
1609581600000,29607.1,29830.0,29458.7,29677.8,413.63204049,2021-01-02 10:00:00,0.0021419387836709,0.0044562589974417,29757.6,1,54.0,0.2262965541990646,0.23749280511963122,0.2615363514743024,0.2746742892070017
1609585200000,29678.9,29776.9,29630.6,29757.6,314.86472847,2021-01-02 11:00:00,0.0026852699889621,0.0044511825603331,30604.7,1,50.0,0.20420796607618383,0.2831362635883948,0.17931645070829633,0.33333931962712515
1609588800000,29758.6,30920.8,29743.1,30604.7,1978.33531532,2021-01-02 12:00:00,0.0280690303835029,0.0070976564596844,31543.5,1,67.59130879848354,0.20285628352127827,0.2778890290645037,0.17846701552143018,0.3407876718927878
1609592400000,30611.0,31544.6,30528.0,31543.5,1261.20329816,2021-01-02 13:00:00,0.0302139536396235,0.0091027172441667,31291.3,0,100.41217534493484,0.2213931803096607,0.2640689287003013,0.17545349641340025,0.33908439457663775
1609596000000,31538.1,31569.9,31070.5,31291.3,858.56408226,2021-01-02 14:00:00,-0.0080274419369154,0.0092513460052801,31701.1,1,102.17936409650115,0.23549884399672405,0.27070256153515354,0.16954457065129333,0.32425402381682905
1609599600000,31295.2,31817.6,31239.0,31701.1,595.42174251,2021-01-02 15:00:00,0.0130112769588344,0.0093354546165204,32482.7,1,111.31120595403084,0.27758737259130173,0.219398166185451,0.23067790307663405,0.2723365581466133
