model_name,best_threshold,used_lr,used_weight_decay,used_emotion_scale,teacher_copied_count,Accuracy,Precision,Recall,F1-Score,AUC,BalancedAcc,val_loss_best,val_auc_best
M1_Baseline_LSTM,0.49000000000000005,0.0002,0.0001,1.0,,0.5164624808575804,0.5285505124450952,0.2772657450076805,0.36372795969773297,0.5301869701340275,0.5157321091450616,0.6924009010559176,0.5314970856935111
M2_Vanilla_Trans,0.48000000000000004,0.0002,0.0001,1.0,,0.5256508422664625,0.520682862770847,0.609062980030722,0.5614159292035398,0.5376068526400957,0.5259055358168877,0.6945862188571836,0.5154953734651515
M3_EmotionAttn_Fixed,0.48000000000000004,0.0002,0.0001,1.0,,0.5260336906584993,0.5286738351254481,0.45314900153609833,0.4880066170388751,0.5389626646029011,0.5258111419894232,0.6929421294026259,0.539446340405071
M4_Vanilla_Adaptive,0.5,0.0002,0.0001,1.0,,0.5326215895610913,0.5309242529534399,0.6011014948859166,0.5638376383763838,0.548447137376651,0.5322677585717341,0.6928995885426485,0.5241213446365253
M5_Ultimate_Adaptive_Emotion,0.49000000000000005,5e-05,0.0005,0.08,28.0,0.5539739027283511,0.53983286908078,0.7623918174665618,0.6320939334637965,0.5896512516589344,0.5528970216108644,0.6830510497093201,0.5971807139444646
