date,price,signal,strategy_equity,buy_hold_equity
2022-09-20 23:00:00,18875.599609375,0,1.0,1.0
2022-09-21 00:00:00,18932.30078125,0,1.0,1.0030039401687054
2022-09-21 01:00:00,18888.0,0,1.0,1.0006569534680552
2022-09-21 02:00:00,19014.0,0,1.0,1.007332238100466
2022-09-21 03:00:00,19024.69921875,0,1.0,1.0078990661203127
2022-09-21 04:00:00,19004.30078125,1,1.0,1.006818388530083
2022-09-21 05:00:00,18928.0,1,0.9959850782131758,1.0027760914465984
2022-09-21 06:00:00,18874.599609375,1,0.9931751673809033,0.9999470215505365
2022-09-21 07:00:00,18948.19921875,1,0.9970479544001244,1.003846214736349
2022-09-21 08:00:00,18877.900390625,1,0.9933488533948215,1.0001218918231798
2022-09-21 09:00:00,18999.19921875,1,0.9997315574743462,1.0065481156589913
2022-09-21 10:00:00,19105.69921875,0,1.0053355521293388,1.012190320526862
2022-09-21 11:00:00,19164.69921875,1,1.0053355521293388,1.015316049045213
2022-09-21 12:00:00,19242.69921875,0,1.0094272507347293,1.0194483681033721
2022-09-21 13:00:00,19271.599609375,1,1.0094272507347293,1.0209794659875764
2022-09-21 14:00:00,19250.099609375,0,1.0083011020843475,1.0198404293241095
2022-09-21 15:00:00,19194.5,1,1.0083011020843475,1.0168948482286413
2022-09-21 16:00:00,19236.5,1,1.0105073927555057,1.0191199431061118
2022-09-21 17:00:00,19886.80078125,0,1.044668167686902,1.0535718701816899
2022-09-21 18:00:00,19635.599609375,0,1.044668167686902,1.0402636215923187
2022-09-21 19:00:00,19004.5,0,1.044668167686902,1.0068289428305617
2022-09-21 20:00:00,18927.099609375,0,1.044668167686902,1.002728390147374
2022-09-21 21:00:00,18468.80078125,1,1.044668167686902,0.9784484288423368
2022-09-21 22:00:00,18487.0,1,1.0456975872323333,0.9794125952331603
2022-09-21 23:00:00,18462.0,1,1.044283488693857,0.9780881339965708
2022-09-22 00:00:00,18392.0,1,1.0403240127861237,0.9743796425341203
2022-09-22 01:00:00,18513.19921875,1,1.0471795183100767,0.9808005892196923
2022-09-22 02:00:00,18749.0,1,1.060517339915563,0.9932929489926176
2022-09-22 03:00:00,18688.80078125,1,1.0571122348254918,0.9901036877243239
2022-09-22 04:00:00,18703.5,1,1.0579436805755364,0.9908824295420249
2022-09-22 05:00:00,18667.400390625,1,1.0559017443812666,0.9889699282110965
2022-09-22 06:00:00,18766.5,1,1.0615072088924962,0.9942200718582301
2022-09-22 07:00:00,18933.5,1,1.0709533871295167,1.0030674729186475
2022-09-22 08:00:00,19205.30078125,1,1.0863275106304084,1.0174670568722615
2022-09-22 09:00:00,19179.0,1,1.0848398347773522,1.0160736822619558
2022-09-22 10:00:00,19150.099609375,1,1.0832051147715842,1.0145425843777516
2022-09-22 11:00:00,19231.099609375,1,1.087786794036247,1.0188338387843012
2022-09-22 12:00:00,19206.30078125,0,1.0863840745719475,1.0175200353217249
2022-09-22 13:00:00,18903.0,0,1.0863840745719475,1.001451630210008
2022-09-22 14:00:00,18883.19921875,1,1.0863840745719475,1.0004026155212156
2022-09-22 15:00:00,18986.19921875,1,1.0923098479742532,1.005859395815964
2022-09-22 16:00:00,19040.900390625,1,1.0954569037933972,1.0087573790857423
2022-09-22 17:00:00,19071.400390625,1,1.0972116231018472,1.0103732217943815
2022-09-22 18:00:00,19190.900390625,1,1.104086670884134,1.016704146505279
2022-09-22 19:00:00,19307.69921875,1,1.110806315438732,1.0228919673185044
2022-09-22 20:00:00,19246.400390625,1,1.1072796847077064,1.0196444504505076
2022-09-22 21:00:00,19172.69921875,1,1.103039525057069,1.0157398766409214
2022-09-22 22:00:00,19401.400390625,1,1.1161971107014674,1.027856110117362
2022-09-22 23:00:00,19399.400390625,0,1.1160820471402575,1.0277501532184348
2022-09-23 00:00:00,19308.599609375,1,1.1160820471402575,1.0229396686177283
2022-09-23 01:00:00,19355.80078125,1,1.1188103848550284,1.0254403135165298
2022-09-23 02:00:00,19295.5,1,1.1153248591958305,1.0222456716244623
2022-09-23 03:00:00,19391.5,0,1.1208738828792177,1.0273316027729658
2022-09-23 04:00:00,19415.400390625,0,1.1208738828792177,1.028597808409852
2022-09-23 05:00:00,19358.599609375,0,1.1208738828792177,1.025588591090907
2022-09-23 06:00:00,19332.599609375,0,1.1208738828792177,1.024211151404854
2022-09-23 07:00:00,19224.0,1,1.1208738828792177,1.0184577124878162
2022-09-23 08:00:00,19069.30078125,1,1.111853995550946,1.0102619877452144
2022-09-23 09:00:00,19083.69921875,1,1.1126935103526534,1.0110247946386626
2022-09-23 10:00:00,18963.099609375,1,1.1056618336759017,1.004635614328062
2022-09-23 11:00:00,18860.0,1,1.0996505113973183,0.9991735568830739
2022-09-23 12:00:00,18898.900390625,0,1.1019186362353002,1.001234439261914
2022-09-23 13:00:00,18638.599609375,1,1.1019186362353002,0.9874441074771311
2022-09-23 14:00:00,18676.80078125,1,1.1041770990005992,0.9894679463307602
2022-09-23 15:00:00,18716.30078125,0,1.106512348807103,0.9915605950845714
2022-09-23 16:00:00,18764.5,0,1.106512348807103,0.9941141149593022
2022-09-23 17:00:00,18772.599609375,0,1.106512348807103,0.9945432197052505
2022-09-23 18:00:00,18634.0,1,1.106512348807103,0.9872004273043055
2022-09-23 19:00:00,18812.5,0,1.117111922396352,0.9966570805335541
2022-09-23 20:00:00,18851.19921875,0,1.117111922396352,0.9987073051383809
2022-09-23 21:00:00,19009.099609375,0,1.117111922396352,1.0070726230033866
2022-09-23 22:00:00,19333.80078125,0,1.117111922396352,1.0242747876283307
2022-09-23 23:00:00,19289.099609375,0,1.117111922396352,1.0219065888531882
2022-09-24 00:00:00,19146.80078125,0,1.117111922396352,1.0143678175786415
2022-09-24 01:00:00,19116.30078125,0,1.117111922396352,1.0127519748700022
2022-09-24 02:00:00,19127.30078125,0,1.117111922396352,1.0133347378141015
2022-09-24 03:00:00,19122.5,0,1.117111922396352,1.0130803998672626
2022-09-24 04:00:00,19164.900390625,0,1.117111922396352,1.0153267068192253
2022-09-24 05:00:00,19139.30078125,0,1.117111922396352,1.0139704792076647
2022-09-24 06:00:00,19077.900390625,0,1.117111922396352,1.0107175817158942
2022-09-24 07:00:00,18995.19921875,1,1.117111922396352,1.006336201861136
2022-09-24 08:00:00,19078.099609375,0,1.1219873129448799,1.0107281360163733
2022-09-24 09:00:00,19028.400390625,0,1.1219873129448799,1.0080951484674472
2022-09-24 10:00:00,19035.599609375,1,1.1219873129448799,1.0084765519141712
